专业类别名称,专业介绍
统计学,中国石油大学于2012年获得统计学一级学科硕士学位授予权，由全国百篇优秀博士论文获得者、全球高被引科学家蒋达清教授担任学位点负责人。学科现有教师26人，其中教投3人、副教授11人、获博士学位人员22人。学位点拥有中国青年统计学家协会常务理事1名、中国现场统计研究会资源与环境统计分会常务理事1名、中国现场统计生存分析分会副秘书长1名、中国现场统计高维数据分会理事2名、山东省大数据研究会大数据专业建设委员会副秘书长兼委员1名，国家自然科学基金函评专家2名，IEEE高级会员I名，SIAM会员1名。主要研究方向为数理统计、随机微分方程及其统计推断、机器学习与数据挖掘。统计与海洋、地质、石油领域的交叉应用研究是本学位点的特色和优势。
化学,化学硕士点是一级理科学位点。2006年化学一级学科硕士点获批建设，2011年博士点获批，并设有化学一级学科博士后流动站。化学学位点目前拥有研究生导师27名，其中博士生导师8名（院主1名）。本学位点主要依托于化学一级学科（其二级学科物理化学于2011年获批山东省省级重点学科），同时积极吸纳相近学科的优势师资和科研平台。化学学科在2017年全国高等学科评估中评级为B-，ESI国际排名前1%并逐年上升，保持良好发展势头。学位点的科学研究包含分析化学、无机化学、有机化学、物理化学与能源化学等5个方向，并紧密结合学校特色，重点开展了石油及新能源利用中化学基础问题的研究，在胶体与界面化学、新能源化学与材料等方向形成了自身优势与研究特色。
电气工程,中国石油大学（华东）电气工程学科成立于1990年，现为教育部“卓越工程师教育培养计划”试点专业和山东省重点建设的特色专业。2006年获批“电力电子与电力传动”二级学科硕士学位授权点，2010年获批“电气工程”一级学科硕士学位授权点，2019年通过教育部工程教育专业认证、获批能源动力类别电气工程领域专业博士学位授权点，2020年获批国家一流本科专业建设点、新能源科学与工程交叉学科博士学位授权点。本学科围绕新能源电力和石油、石化等行业需求，开展电气工程领域的基础理论和应用技术研究，主要研究方向包括：电机与电器、电力电子与电力传动和电力系统及其自动化等。
油气田开发工程,油气田开发工程学科隶属于石油与天然气工程一级学科。石油与天然气工程学科是学校优势特色学科和国家“211工程”“985优势学科创新平台”重点建设学科，1961年获工学硕士学位授予权，1986年获工学博士学位授予权，2007年被批准为国家重点一级学科，2017年被确定为国家“双一流建改学科。本学科主要研究储层流体渗流规律、油气田高效开发、采油采气及提高油气采收率等一系列基础理论和工艺技术。以服务国家重大能源战略需求为导向，以油气资源（特别是深层、深水、页岩致密油气、煤层气、天然气水合物等)及地热资源等安全高效开发与提高采收率为主攻目标，瞄准国际学术前沿，汇聚国内外一流学科人才队伍，建设国际一流学科平台，构建科教融合的创新人才培养体系，强化学科交叉与国际化，创新油气田开发理论、方法和技术，培养科学素养高、理论基础扎实、科研创新能力强、学术视野广的油气田开发工程专业人才。
化学工程与技术,化学工程与技术学科代码：0817。本学科于1953年由清华大学化工系为主组建而成，1983年获批有机化工和应用化学博士点，1988年被国家教委审定为国家重点学科，1998年获一级学科博士授权点，是“211工程”和“985优势学科创新平台”重点建设学科、山东省高峰学科。建有重质油国家重点实验室、油气加工新技术教育部工程研究中心、中国石油催化重点实验室等科学研究平台。本学科重视学科前沿领域研究和学科交叉融合，引领油气高效转化与低碳利用等关键技术创新，开展石油替代资源和新能源高效利用技术研究。通过半个多世纪的发展，研究领域已拓展到新能源、新材料和生物工程等领域，形成了以石油石化为特色、现代能源化工领域人才培养和科学研究基地。
动力工程及工程热物理,本学科是由1953年建校之初的石油炼厂机器及设备专业发展而来的，1956年首届研究生毕业，2010年获批一级学科博士学位授予权，是本学科国内石油高校中唯一的一级博士点学科。2019年，获批服务青岛市产业发展重点学科，2020年，获批山东省“优势特色”学科。历经69年发展，遂步形成了化工过程机械、工程热物理、热能工程、能源环境工程4个稳定的学科方向，建成了多相流分离理论与技术、流体动密封理论与技术、承压设备安全评价技术、油气过程中的热能技术、微尺度传热理论与技术、环保设备技术、新能源利用技术等多个特色鲜明的科研方向和团队，面向国家能源及“双碳”战略，成为过程装备与能源利用技术方面的科学研究和人才培养的重要基地。
地质资源与地质工程,我校地质资源与地质工程学科作为中国石油大学（华东）的“龙头主干”学科，为国家“双一流”重点建设学科，在2017年全国第四轮学科评估中获评A+，且以此为主要支撑的地球科学进入ESI全球排名前1%。本学科是1998年由国家重点学科“矿产普查与勘探”、国家重点（培育）学科“地球探测与信息技术”合并组成，是我校办学历史最为悠久、实力最强的学科之一。1981年建立“石油地质与勘探”和“应用地球物理”硕士学位授权点，1985年建立“煤田、油气地质与勘探”和“应用地球物理”博士学位授予权点。本学科拥有“致密油气地质与勘探”和“深层一超深层油气地球物理勘探”2个全国高校学科创新引智基地（“111”创新引智计划）
光学工程,中国石油大学光学工程学科是由物理学下设的二级学科一一光学发展而来。2010年获批光学工程一级学科硕士点，2015年通过学位授权点合格评估。学科确定了“加强光电基础、结合工程应用、面向能源与海洋需求、突出油气与海洋特色”的学科定位和自标。构建了“光电+油气/海洋”特色的高层次人才培养体系。设置了以光传感与光探测器件与技术（含光传感与光电检测技术、光电材料及器件）为主攻方向、现代光信息处理技术为培育方向的学科方向体系。
生物化工,生物化工二级学科（081703）隶属于化学工程与技术一级学科（0817)，自2015年开始按照二级学科单独招生。本学位授权点依托重质油国家重点实验室、山东省生物工程与技术高校重点实验室、生物工程与技术中心等科研机构，所开展的研究工作包括研究新型生物材料开发与应用、生物能源、重大疾病相关的关键蛋白与酶、基因工程与细胞工程、生物炼制与工业微生物、高效生物分离、石油生物技术等，结合我校能源、石油特色，在生物化工的新型领域培养研究型人才。
地球物理学,地球物理学是应用物理学的理论和方法研究地球及其周围空间物理场、物理性质、结构、形态及其所发生的各种物理过程，包括研究固体地球的固体地球物理学、研究固体地球整体及其内部运动动力过程的地球动力学、研究地面形状的大地测量学、研究海洋运动的海洋物理学、研究低空的气象学和大气物理学、以及研究高空乃至行星际空间和太阳大气的空间物理学等。
外国语言文学,中国石油大学（华东）于2000年获批英语语言文学二级学科硕士学位授予权，2011年获批外国语言文学一级学科硕士学位授予权，2012年起按一级学科招生。下设英语语言文学和俄语语言文学两个二级学科。本学位授权点设有4个研究方向，学制三年，旨在培养外国文学、外国语言学及应用语言学、翻译学、语言智能与全球治理等相关研究领域的研究型高级外语人才，毕业生主要面向政府机关、企事业单位、教育和科研机构就业，为“一带一路”建设和全球治理提供人才支撑。
法学,中国石油大学（华东）经济法学二级学科硕士学位投权点于2007年开始招生：2011年，法学一级学科硕士学位授权点获批并于次年招生。在多年的发展中，本学位点依托学校能源学科优势与区域发展优势，积极服务于石油石化行业、区域经济社会发展和法治建设，在环境能源法律与政策人才培养和科.学研究等方面形成了自己的特色。
软件工程,2012年我校设立软件工程一级学科硕士点，现已形成了软件形式化理论与方法、软件建模分析与验证、软件测试与质量度量、多媒体软件技术、软件集成与服务、油由工程仿真、油气智能信总处理等特色鲜明的研究方向，取得了一系列优秀科研成果。本学科注重产学研相结合，与国内外著名油田化工企业密切合作，开发了一系列具有完全自主知识产权的智慧油田软件平台和嵌入式设备，在国内外石油行业具有较大影响。建立了与国际国内著名高校、院所、企业广泛的交流合作机制，已经成为软件工程高级技术和管理人才培养的重要播篮。
信息与通信工程,信息与通信工程主要研究信息的获取、存储、传输、处理、表现和应用，以及信息与通信设备及系统的设计、分析、开发、维护、测试、集成和应用。基于学科特点，本学位点设置“信号与信息处理”和“通信与信息系统”两个研究方向，覆盖信息与通信工程的主要研究领域。本学位点在人工智能、信息处理、通信系统等通用信息领域，取得了丰硕的科研和育人成果，同时，面向油气、海洋等行业需求，形成了具有行业背景的信息与通信工程研究特色。毕业生能够从事人工智能、信息、通信、计算机等方面的理论创新、技术研发及工程管理等方面工作，同时能够在油气、海洋及其他应用领域开展行业相关的信息与通信工程的科研和管理工作。
测绘科学与技术,“测绘科学与技术”一级学科硕士学位授权点于2011年获批，并与“地质资源与地质工程”国家一流学科交叉建设，在地学信息技术和海洋探测领域形成特色和优势。本学位点以“立足石油、面向海洋、服务社会”为发展理念和培养特色，在大地测量学与测量工程、摄影测量与遥感、地图制图学与地理信息工程、海洋测绘形成了稳定的研究方向，拥有由国内知名专家学者领军的高素质师资队伍，拥有高水平的科技研发平台，承担有国家重点研发计划专项、国家自然科学基金重点项目等高水平的研发项目，具有良好的培养条件，经过多年的建设与发展，本学位点已发展成为测绘学科高层次创新人才和科技创新的重要基地，在国内外具有重要的影响。
船舶与海洋结构物设计制造,船舶与海洋结构物设计制造表属于船舶与海洋工程一级学科。2006年获批船舶与海洋结构物设计制造二级学科硕士点，2011年获批船舶与海洋工程一级学科硕士点。船舶与海洋工程学科结合石油工业和船舶工业两大行业的背景和需求，以服务国家和地方相关企业科研和生产需求为目标，形成了较为完善的、具有海洋石油特色的学科体系。船舶与海洋结构物设计制造学科主要研究船舶与海洋结构物设计、制造过程中的各种物理、力学现象、规律、机理及工艺技术方法等，包括船舶与海洋工程结构物的流体力学性能、结构力学性能、海洋岩土力学性能、船舶与海洋结构物的设计理论与方法、船舶与海洋结构物的制造理论与工艺方法等。本学科主要培养方向有船舶与海洋结构物及油气装备设计制造、海洋工程流体动力学、海洋岩土工程等。
工商管理, 本授权点始于1956年石油工业经济专业，1998年开始先后设立了企业管理、技术经济与管理、会计学三个二级学科硕士点：2006年获得工商管理一级学科硕士学位授予资格；2009年获得MBA试办资格，2010年获得MPAcc授予资格，2015年通过MBA、MPAcc专项评估。2020年新设“能源经济管理”交叉学科博士点。本学科的科学研究注重与国际主流规范接轨，人才培养注重锤炼学术创新能力。本授权点设有企业战略与可持续发展、营销与服务管理、组织与人力资源管理三个培养方向。本若“融入主流创一流”的指导思想。在学校“211工程”“985优势学科创新平台”“双一流”建设等优势资源支撑下，深化学科建设，突出能源特色，形成实力雄厚的师资队伍，搭建特色鲜明的实验平台，开展全方位的国际交流活动，建成完善的专业人才培养体系。
地质资源与地质工程,我校地质资源与地质工程学科作为中国石油大学（华东）的“龙头主干”学科，为国家“双一流”重点建设学科，在2017年全国第四轮学科评估中获评A+，且以此为主要支撑的地球科学送入ESI全球排名前1%。本学科是1998年由国家重点学科“矿产普查与勘探“国家重点（培育）学科“地球探测与信息技术”合并组成，是我校办学历史最为悠久、实力最强的学科之一。1981年建立“石油地质与勘探”和“应用地球物理”硕士学位授权点，1985年建立“煤田、油气地质与勘探”和“应用地球物理”博士学位授予权点。本学科拥有“致密油气地质与勘探”和“深层一超深层油气地球物理勘探”2个全国高校学科创新引智基地（“111”创新引智计划）。
安全科学与工程,我校安全工程学科创立于1999年，2003年获得“安全技术及工程”硕学位授予权，2006年获得“安全技术及工程”博主学位投予权，同年成为首批安全工程领域培养单位。2007年入选国家级特色专业建设，2011年获“安全科学与工程”一级学科首批博士学位授予权，同年入选山东省重点学科。2017年本学科在第四次教育部全国学科评估中评为B+。本学位点依托“安全科学与工程”一级学科，紧密结合国家油气能源及相关行业安全生产的迫切需求，以解决重大事故风险防控方面关键科学问题为目标，建设形成融合工程实践、科学研究和人才培养的一体化培养体系。在油气安全工程、海洋油气安全技术、化工过程安全工程、安全工程信息化技术等方面形成优势培养方向，取得了一批学术和行业特色相融合的高水平研究成果，为我国能源行业的安全保障提供了强有力的人才支撑。
环境科学与工程, 本学科是从1989年成立的中国石油天然气集团公司环境工程研究开发中心发展而来的，是国内最早开展石油石化领域环境保护科学研究和人才培养的学科。1996年和2000年分别获得“环境工程”、“环境科学”二级学科硕士点，2006年获得“环境科学与工程”一级学科硕士点，2003年自主设置了“环境化工”二级学科博士点。2010年、2013年先后被评为山东省“十二五”特色重点学科、青岛市重点学科。本学科紧密围绕石油石化行业高速发展对环境保护与治理的迫切需求，与学校优势主干学科交叉渗透、拓展创新，秉持“面向重大需求，立足科学前沿、加强基础研究，引领行业技术”的指导思想，为国家培养石油石化环境保护的研究型和工程应用型人才。
材料科学与工程,材料科学与工程是面向国家能源战略和区域经济发展的学科，结合学校学科特色和办学优势，围绕新能源、新材料、油气和海洋等领域，开展前沿探索、学科交叉，深化军民融合。在材料焊接新技术、材料腐蚀与防护、金属失效与表面工程、材料设计与多尺度模拟、能源储存与转化材料、功能薄膜/多孔材料等方向形成了鲜明的研究特色。承担多项国家自然科学基金重点项自、973、863等重大课题，产出一大批高水平研究成果；学位点所在学科进入全球ESI学科排名前1%。本学位授权点逐步形成了厚基础、强实践、国际化的多元培养体系，研究生培养质量高，受到用人单位的广泛好评。
机械工程,机械工程学科为山东省优势特色学科，机械电子工程、机械设计及理论2个二级学科为山东省重点学科。在U.S.News2022学科排名中，本学科位列世界第48名。拥有海洋物探及勘探设备国家工程实验室、采油装备国家工程技术研究中心、教育部石油石化新型装备与技术工程研究中心等12个国家和省部级高水平科研平台。具有海洋油气装备工程、机械制造及其自动化等5个学科方向，本学位点已成为我国油气机电装备领域等重要的科学研究和高层次人才培养基地，具有进行机械工程前沿课题研究和解决重大工程问题的基本设施、条件和能力。
体育学,中国石油大学体育教育训练学二级学科硕士点自2007年开始招生，2011年获批体育学一级学科硕士学位授权点。现有体育人文社会学、运动人体科学、体育教育训练学、民族传统体育学四个二级学科。依托能源高校资源，充分发挥学校多学科发展的优势，立足本地区域，积极为行业、区域经济发展和体育事业提供智力支持。在专项教学理论与方法、专项训练理论与方法以及社会体育指导与管理等人才培养方面形成了自己的特色。
力学,中国石油大学（华东）力学学科起源于1953年建立的北京石油学院力学教研室。1990年10月获工程力学硕士学位授予权：2003年1月依托油气井工程博士学科自设油气工程力学二级博士点；2006年1月获工程力学博士学位授予权和力学一级硕士学位授予权：2010年6月获批了自行审核力学一级博士学位授予权：2012年4月获批为山东省重点学科：2014年9月获批建设力学博士后流动站，2020年12月获批建设山东省“优势特色学科”。学科紧密围绕国家能源战略需求，力学基础研究与应用研究协调并重，走出了一条以油气行业发展需求为驱动，以创新复合人才培养为目标，以油气工程力学基础理论以及重大工程装备技术支撑研究为内容的学科平台建设之路，取得了一批重要研究成果。
海洋地质,海洋地质为“海洋科学”级学科下设的二级学科，其主要以地质学和海洋学基本理论和方法为基础，依托海底探测和信息处理技术，研究海底现代沉积物与固态圈层的结构特征、物质组成和演化规律，揭示海底现代沉积物与固态圈层，与水圈和生物圈相互作用和耦合机理，以及由此产生的资源和环境效应。
物理学,物理学一级学科是中国石油大学（华东）重点建设的学科之。学科始于1982年设立的物理学史硕士学位授权点，于1990年获批无线电物理二级学科硕士学位授权点，2006年获批物理学一级学科硕士学位授权点。物理学硕士学位授权点立足物理学发展的前沿，紧密结合能源领域的应用，开展相关物理间题的理论及应用基础研究。经过多年的发展，物理学硕土学位授权点构建了“物理+能源”特特色的物理学硕士研究生培养体系，形成了物理场探测方法与技术、能源物理理论与技术、凝聚态物理、理论物理4个稳定的培养方向，已成为物理和能源领域重要科学研究和高层次人才培养的基地。
计算机科学与技术,计算机科学与技术专业始建于1984年，并于1993年和2000年获得计算机应用技术和计算机软件与理论硕士学位授予权。2006年获得计算机科学与技术一级学科硕士学位授予权，2002年在地质资源与地质工程一级学科下自主设立了计算机技术与资源信息工程二级博士点，2019年设立了先进科学与工程计算交叉学科博士点、油气人工智能交叉学科博士点，以培养计算机与油气勘探开发交叉学科高层次人才。计算机应用技术为山东省“十二五”重点学科，计算机科学与技术专业为山东省特色专业，2019年入选国家级一流专业建设点。本学位点依托学校特色和行业优势，服务国家能源战略，面向石油石化行业重大应用需求，发展油气计算机基础理论和关键应用技术，为我国地方经济发展和石油有化行业信息化建设提供有力支持，已经成为计算机高级技术和管理人才培养的重要摇篮，为我国石油石化行业的信息化建设和发展起到引领带动作用。
应用经济学,专业介绍:应用经济学-级学科学位点最早始于中国石油大学1956年成立的工业经济系，1986年起开始招收硕士研究生，2004年获批产业经济学二级学科硕士授予权，2010年获批应用经济学一级学科硕士学位授予权。本学位点一直体现以能源经济为主要研究内容的学科发展特色，后来文逐渐扩展到区域经济、环境经济、资源经济等经济学领域，形成了能源经济与政策、产业经济与区域发展、资源与环境经济3个研究方向。紧密结合我国经济社会需要，坚持立德树人为根本，培育和践行社会主义核心价值观，培养在经济领域掌差坚实宽产的理论基础和系统深入的专门知识，具备一定的批判性思维和创新性思维，具有国际视野，能够对复杂现实间题进行调查研究、构建模型和实证检验等能力，具有高度社会责在任感的高层次经济专业人才。要求学生具备扎实、系统的应用经济学基本理论和基础知识，擎握基本的经济研究方法；具有实事求是、勇于创新的精神和严谨的治学态度，能理论联系实际，解决现实经济与管理中的实际问题；较为熟练地掌握一门外国语并能阅读本专业的外文资料；具有健康的体魄和健全良好的心理素质；毕业后能在政府部门、企事业单位和高等院校，从事与本学科相关的经济分析、经济预测与决策和教学科研工作。
控制科学与工程,控制科学与工程学位点由中国石油大学（华东）与中国石油大学（北京）两校共建，1986年获得控制理论与控制工程二级学科硕士学位授予权，2005年获得控制科学与工程一级学科硕士学位授予权。本学位点主要面向石油天然气、化工、航空航天、生物医学、仪器、智能制造等领域，开展控制科学与工程的理论和应用研究，解决行业领域的技术难题，在石油化工生产过程的建模仿真与先进控制、油气由测控技术、故障诊断与智能信息处理和油气田特种测控设备开发等领域形成了一定的特色与优势，曾获国家科技进步奖二等奖和中石化总公司科技进步奖一等奖等奖项。
油气储运工程,油气储运工程是运用科学的理论与方法，针对石油、天然气、浆体、氢、三氧化碳等流体，开展地面集输、长距离管道输送、储存工艺与技术等方向研究的学科。以数学、力学、热学、化学、材料等学科的理论为基础，研究解决石油、天然气、浆体、氢、二氧化碳等流体介质储运系统中的工艺、设备、结构、安全与智能化等方面的理论与技术问题，保障石油、天然气、氢等介质的安全生产与供应。油气储运工程专业1952年创建于清华大学，1981年、1986年分别经国务院学位委员会批准，成为我国第一个获得硕士、博士学位授予权的油气储运学科点，2017年入选“双一流”学科建设，2022年入选第二轮“双一流”学科建设，并获培优资格。学科成立以来，为我国石油、石化、军队、民航、交通等系统培养了大批油气储运技术人才，在油气储运关键技术及其应用基础研究上取得了一系列重要成果，是储运行业有才、选才的首选基地。
海洋油气工程,海洋油气工程学科隶属于石油与天然气工程一级学科。石油与天然气工程学科是学校优势特色学科和国家“211工程”“985优势学科创新平台”重点建设学科，1961年获工学硕士学位授予权，1986年获工学博士学位授予权，2007年被批准为国家重点一级学科，2017年被确定为国家“双一流建设学科”。本学科主要研究海洋油气钻完井、开采、集输过程中的各种物理、力学与化学现象、规律、机理及工艺技术方法等。根据石油与天然气工程学科的内涵和发展趋势，瞄准国际学术前沿，汇聚国内外一流学科人才队伍，建设国际一流学科平台，构建科教融合的创新人才培养体系，强化学科交叉与国际化，创新海洋油气工程理论、方法和技术，培养科学素养高、理论基础扎实、科研创新能力强、学术视野广的海洋油气工程专业人才。
地质学, 地质学硕士学位授权点源于1953年设立的北京石油学院石油地质专业：2005年地质学被批准为博主点学位授权一级学科。地质学一级学科我校目前主要发展四个二级学科：矿物学、岩石学、矿床学，构造地质学，地球化学，古生物学与地层学。紧密围绕国家能源战路重大需求，面对油气资源基础地质的学科前沿，已在沉积岩石学、储层地质学、盆地构造与油气区解析、成岩成藏流体地球化学等方向形成了特色与优势，建立了具有中国特色的地震沉积学、测井沉积学、层序地层学等理论和方法体系，形成了叠合盆地原型恢复与构造建模技术等，取得了系列创新性成果，并在油气勘探开发中取得了显著的经济效益。
新能源科学与工程,新能源科学与工程面向新能源产业中的基础科学问题，立足于国家能源发展规划，根据能源领域的发展趋势和国民经济发展需要，基于动力工程及工程热物理、化学工程、电气工程、材料科学与工程、控制科学与工程等基础科学的基本原理和方法，针对新能源（如太阳能、地热能、生物质能、氢能等）的特点，解决其在存储、转化、利用中的相关科学和技术问题，是理工结合、多学科融合的新型交叉学科专业。主要培养在新能源储存与转化、新能源高效利用等领域从事相关基础理论研究、新材料开发以及新工艺设计等方面的高层次复合型人才，以满足新能源产业对科技研发、产业发展等方面的高层次创新型人才的需求。
数学,中国石油大学数学学科始建于1953年，2001年开始跨学科培养硕士研究生，2003年设立计算数学、应用数学二级学科硕土点，2006年设立数学一级学科硕士点，是校级重点学科。数学硕士学位点共设有5个研究方向，分别为基础数学、计算数学、应用数学、运筹学与控制论、数据科学与信息安全。本学位点重视基础理论和应用基础研究，尤其在石油勘探开发、海洋大数据等数学应用领域形成鲜明特色，致力于培养“数学+（石油、海洋、软件开发）”的复合型硕士研究生。
油气井工程,油气井工程学科隶属于石油与天然气工程一级学科。石油与天然气工程学科是学校优势特色学科和国家“211工程”“985优势学科创新平台”重点建设学科，1961年获工学硕生学位投予权，1986年获工学博士学位授予权，2007年被批准为国家重点一级学科，2017年被确定为国家“双一流建设学科”。本学科主要研究油气并建并过程中岩石、流体、管柱三者自身物理、力学、化学基本特征及相互作用规律，以及相应控制技术。以服务国家重大能源战略需求为导向，以油气资源（特别是深层、深水、页岩/致密油气、煤层气、天然气水合物等）及地热资源等安全、高效、智能化钻完井为主攻目标，瞄准国际学术前沿，汇聚国内外一流学科人才队伍，建设国际一流学科平台，构建科教融合的创新人才培养体系，强化学科交叉与国际化，创新油气井工程理论、方法和技术，培养科学素养高、理论基础扎实、科研创新能力强、学术视野广的准气井工程专业人才。
土木工程,中国石油大学（华东）土木工程专业创建于1986年，于2003年获岩土工程二级学科硕士学位授予权、2006年获结构工程与供热、供燃气、通风及空调工程两个二级学科硕士学位授予权，在此基础上，2011年获土木工程一级学科硕士学位授予权。土木工程学科学位投权点设置岩王工程，结构工程，防灾减灾工程及防护工程，供热、供燃气、通风及空调工程四个培养方向。基于特色发展恩路，面向士木工程和石油石化行业发展需求，以土木工程基础理论研究和科技创新为核心，突出能源特色，服务石油石化行业，并面向蓝黄经济圈对主木工程学科的需求，服务区域经济。
马克思主义理论,马克思主义是科学的世界观和方法论，是反映客观世界特别是人类社会的本质和规律的科学真理。马克思主义理论是一门从整体上研究马克思主义基本原理和科学体系的学科。它包括马克思主义基本原理、马克思主义发展史、马克思主义中国化研究、国外马克思主义研究、思想政治教育、中国近现代史基本问题研究和党的建设等7个二级学科。中国石油大学（华东）在多年的发展中，本学位点始终瞄准当代中国重大理论与现实问题、区域经济社会发展以及能源战略安全等国家重大需求，依托学校能源学科优势与区域发展优势，不断夯实学科基础，突出学科特色，在马克思主义基本原理、马克患主义中国化研究、惠想政治敦育、中国近现代史基本问题研究等二级学科方向形成明显的科学研究与人才培养优势。
