专业类别名称,简介
应用统计,"应用统计硕士（MasterofAppliedStatistics，缩写为MAS）专业学位以现代统计理论和先进统计分析方法为基础，是统计学与相关学科领域相结合、复合型与实性紧密结合的专业学位类别，致力于为政府部门、大中型企业、咨询和研究机构培养高层次、复合型、应用统计人才。"
能源动力,"动力工程专业领域隶属于能源动力类别。2018年学校获得能源与环保领域工程博士专业学位授予权，2019年将该领域调整为能源动力类别。本领域依托动力工程及工程热物理一级学科博主点、博士后流动站及山东省重点学科建设，汇集了以“方人计划”领军人才、中青年科技创新领军人才、青年长江学者引领的本领域国内外知名专家学者为核心的高素质师资队伍，建设了山东省高等学校青年创新团队、山东省高等学校“青创科技计划”团队等高水平科研创新团队。本领域面向国家能源战略及节能减排发展需求，围绕动力工程领域的工程问题，开展能源高效清洁开发、转换、存储、传输和利用的基础理论和装备技术研究，在化工过程机械、热能工程、新能源与能源高效利用等多个方面形成了自己的特色与优势，成为能源与装备专业领域科学研究和人才培养的重要基地。"
新一代电子信息技术,"‘新一代电子信息技术’领域属于‘电子信息’类别专业学位硕士点。中国石油大学（华东）2012年获批‘电子与通信工程’全日制工程硕士点，2020年改设为‘电子信息’类别的‘现代电子系统设计’专业学位硕士点，2021年更名为‘电子信息’类别的‘新一代电子信息技术’领域专业学位硕士点。本领域面向电子、通信、计算机、油气、海洋等行业中的应用场景，以通用和专用先进电子信息系统设计与研发为主线，培养应用型、复合型电子信息工程技术与工程管理人才。毕业生能够从事人工智能、信息、通信、计算机软硬件等方面的研发、管理等工作，同时能够在油气、海洋及其他应用领域开展行业相关的电子信息技术工作。"
大数据技术与工程,"大数据技术与工程专业领域是电子信息专业学位授权类别下设置的硕士专业学位授权领域之一，其培养方向包括大数据计算、大数据分析、领域大数据应用等，是学校服务国家新旧动能转换重大工程的重点拓展领域。本领域依托计算机科学与技术一级学科硕士学位授权点、软件工程一级学科硕士学位授权点，覆盖大数据采集与预处理、大数据存储与管理、大数据计算模式、大数据分析与挖掘、大数据可视化、大数据安全等研究内容。"
测绘工程,"测绘工程专业领域是资源与环境硕士专业学位类别下设置的高层次专门人才培养领域之一，依托测绘科学与技术一级学科建设。本专业领域结合学校特色和办学优势，在空间信息技术、卫星导航与定位、海洋测绘与遥感等前沿科技领域具有丰厚的研究积累和鲜明的领域特色，拥有由国内知名专家学者领军的高素质师资队伍，以及高水平的科技研发平台。"
化学工程,"中国石油大学（华东）化学工程领域设置于2008年，旨在培养石油和化工领域高层次复合型、应用型工程技术人才和管理人才。该领域是研究化学工业过程中的化学过程与物理过程共同规律与应用技术的工程领域，强调基础理论与工程应用相结合，研究领域涵盖产品研制、工艺开发、过程设计、系统模拟、装备强化、操作控制、环境保护、安全生产技术、生产管理等，已成为石油石化特色鲜明、国际知名的能源化工和现代化工领域人才培养和科学研究基地。"
电气工程,"电气工程专业领域是一个运用科学的理论、方法、技术与装备实现现代电力系统运行与控制，以提高新能源消纳、电力电子化设备接入能力并实现与其他能源互联的专业。该领域涉及数学、物理、电磁学等基础学科，并与动力工程、控制科学与工程、电子与信息等工程领域密切关联。本专业领域作为能源动力类别的重要组成部分，面向国家能源战略需求，主要研究特种电机与电器、新能源电力变换、电力系统及其自动化等。"
翻译硕士,"中国石油大学（华东）翻译硕士（俄语笔译）于2011年开始招生，是国内开设俄语笔译翻译硕士的25所院校之一。该专业领域的培养方向包括能源科技翻译和公共服务翻译，其中能源科技翻译为该专业领域的特色方向。主要培养具有娴熟俄汉翻译技能、较强英语应用能力及一定能源领域相关知识的‘俄语+英语+能源’高层次、应用型语笔译人才。"
地质工程,"地质工程领域是以地球科学理论为基础，以地质调查、资源勘查、油气勘探、重大工程等涉及的地质工程问题为研究对象，以地质学、地球物理学、地球化学、数学地质方法、新一代信息技术、工程地质方法等为手段，为国民经济建设服务的先导性工程领域。依托‘双一流’建设学科‘地质资源与地质工程’，本领域拥有优良的科研学术、工程技术开发与应用的基础条件。"
人工智能,"人工智能专业领域是电子信息专业学位授权类别下设置的硕士专业学位授权领域之一，其培养方向包括计算机视觉及应用、数据挖掘及应用、智能化感知与控制系统。本领域依托计算机科学与技术、控制科学与工程、信息与通信工程等一级学科硕士学位授权点，旨在培养具有实践创新能力和解决人工智能及信息技术领域工程实际问题能力的高层次、应用型工程技术和工程管理人才。"
船舶工程,"船舶工程领域是机械专业学位类别的培养领域之一，结合石油工业和船舶工业两大行业的背景和需求，建立了具有海洋石油特色的学科体系，主要研究船舶与海洋结构物设计、制造过程中的各种物理、力学现象、规律、机理及工艺技术方法等。"
工商管理,"中国石油大学（华东）工商管理硕士（MBA）专业学位类别以‘建成能源行业和区域先进水平的MBA教育’为愿景，以‘构筑发展平台，培育管理精英’为使命，坚持走‘质量、品牌、特色一体化’发展之路，为能源行业和地方经济社会发展培养了一大批高层次管理人才。"
计算机技术,"计算机技术专业领域依托计算机科学与技术硕士学位授权一级学科，涵盖人工智能及应用、图形图像处理与虚拟现实、计算机网络与应用、数据工程与信息系统等方向，旨在为油气能源行业、信息技术产业输送高层次计算机技术专门人才，跟踪国内外前沿方向，形成应用技术研究与实践、产学研结合的特色。"
金融,"金融硕士专业学位是中国石油大学于2014年获得审批并于2016年开始招生的项目。该专业依托学校油气能源学科特色和优势，主要面向能源经济领域和金融机构，培养具有油气能源特色的应用型金融专门人才，服务于国家能源战略和区域经济发展。"
翻译硕士（英语笔译）,"翻译硕士（英语笔译）专业学位自2011年招生，依托学校特色与优势，立足石油石化行业，面向区域经济社会发展，聚焦能源、科技翻译，兼顾文学、公共服务等其他领域翻译。旨在培养具有高尚道德情操、良好的学术修养、扎实的理论知识和基本技能，适应国家能源国际化发展战略，适应我国'一带一路'倡议及区域发展需要，具有核心竞争力的高层次、应用型、专业性翻译人才。"
环境工程,"中国石油大学（华东）环境工程领域是资源与环境专业学位授权类别下设置的工程类专业学位授权领域之一，旨在培养环境工程领域应用型、复合型高层次专门人才。该领域以不断发展的国家环境保护要求为指引，紧密围绕石油石化等能源行业创新发展所需的环境保护与治理需求，形成了在石油石化等能源行业的污水处理及回用、恶臭污染治理、VOCs治理及管控、固体废物处理处置、环境影响评价、排污许可制度、环境监测、清洁生产、环境催化、环境安全、环境健康、环境污染修复等方面的特点，是我国石油石化等能源行业环境保护科技研究和人才培养的重要基地。"
土木水利,"土木水利工程是中国石油大学（华东）的专业类别，涉及设计和建造各类工程设施及相关装备的科学技术。该专业类别依托土木工程学科，涵盖岩土工程、结构工程、防灾减灾工程及防护工程、人工环境工程、建筑设计等方向，旨在培养具有强烈事业心、责任感和良好学术、职业修养的高层次应用型复合型专门人才，积极为行业、区域经济发展和工程建设提供智力支持。"
工程管理, "中国石油大学（华东）工程管理硕士（MEM）专业依托管理科学与工程一级学科博士点，旨在培养具有国家使命感和社会责任心，掌握系统规划与设计、定量分析与评价、管理优化与决策等专业知识和能力的高层次、复合型工程管理人才。"
法律（法学）,"中国石油大学（华东）法律（法学）专业学位（JM）旨在完善法律人才培养体系，创新法律人才培养模式，提高法律人才培养质量。依托学校能源学科优势与区域发展优势，为能源行业、区域经济社会发展和法治建设提供智力与人才支持，主要面向立法、司法、行政执法和法律服务等领域，培养具有专业法律素养的高层次应用型法治人才。"
控制工程,"控制工程专业领域依托中国石油大学（华东）“控制科学与工程”博士学位授权一级学科点，主要面向能源、化工、智能制造、海洋信息等领域，开展控制理论及工程应用、智能控制与计算工程、模式识别与信息处理等方面研究，解决行业领域的技术难题，形成了特色与优势，曾多次获得国家科技进步奖二等奖和中石化总公司科技进步奖一等奖等奖项。"
生物技术与工程,"生物技术与工程领域依托生物化工学科，主要聚焦生物技术与工程领域，始于2006年，重点建设了围绕生物工程与生物技术的科技创新平台。该领域已在能源生物工程、蛋白质与酶工程、生物材料工程等方向形成特色，应用广泛，涉及农业、医药、工业、能源、环保等多个社会领域，为解决资源、环保和人类健康等问题提供前景。"
储能技术,"新能源学院储能科学与工程系致力于培养从事电化学储能、氢能综合利用等方向的跨学科复合型高级工程技术人才。储能技术专业主要从事新能源存储与转化、氢能与燃料电池、富碳材料及能源应用研究，拥有一支包括国家杰出青年基金获得者、国家'万人计划'领军人才等在内的高水平师资队伍。"
材料工程,"材料工程领域是材料与化工专业学位类别的培养领域之一，结合学校学科特色和办学优势，围绕材料领域中的工程问题，开展前沿探索、学科交叉研究，在装备材料工程、能源材料工程和材料基因工程等方向形成了鲜明的特色，产出一大批高水平研究成果，并实现了一批具有经济和社会效益的转化成果。该学位点所依托的工程学科进入全球ESI学科排名前1%，培养的研究生理论功底扎实、技术创新和工程实践能力强，具有较高的国际化水平。"
机械工程,"机械工程领域是机械硕士专业学位授权类别下设置的硕士专业学位培养领域，依托学校机械工程博士学位授权一级学科，拥有一支包括国家级和省部级人才在内的高水平师资队伍。本领域具有石油机械工程、机械制造及其自动化、机械电子工程等3个学科方向，已成为我国油气装备行业等重要的技术开发和高层次工程技术人才培养基地。"
软件工程,"软件工程专业领域依托软件工程硕士学位授权一级学科，经过20多年的建设与发展，形成了软件形式化理论与方法、软件建模分析与验证、软件测试与质量度量、油田工程仿真、油气智能信息处理等特色鲜明的研究方向。面向新时代信息技术快速发展需求，本领域将抓住机遇，瞄准国家能源资源行业重大需求和山东省区域经济建设发展两大支撑点，为国家和社会培养更多卓越的高层次应用型、复合型软件工程技术和管理专门人才。"
通信工程,"“通信工程”领域属于“电子信息”类别专业学位硕士点，中国石油大学（华东）2012年获批“电子与通信工程”全日制工程硕士点，2021年改设为“电子信息”类别的“通信工程”专业学位硕士点。本领域面向通信、电子、计算机、油气、海洋等行业中的应用场景，以通用和专用先进通信系统设计与研发为主线，培养应用型、复合型通信工程技术与工程管理人才。毕业生能够从事通信、信息、计算机软硬件等方面的研发、管理等工作，同时能够在油气、海洋及其他应用领域开展行业相关的通信技术工作。"
石油与天然气工程,"石油与天然气工程领域主要面向油气行业，服务国家能源战略，立足产、学、研结合，培养具有一定工程创新能力的应用型、复合型高层次工程技术和工程管理人才。本领域依托石油与天然气工程“双一流”建设学科，拥有20多个国家及省部级科研平台和10多处研究生联合培养基地，在复杂油藏开发和提高采收率、高温高压钻完井液、井下信息与控制、非常规油气高效开发、海洋油气钻完井工程、油气与非常规介质运输与储存等多方面具有丰厚的研究积累和鲜明的领域特色。"
安全工程,"中国石油大学（华东）安全工程专业领域是资源与环境硕士专业学位授权类别下设置的高层次专业门人才培养领域之一。安全工程专业领域依托的安全科学与工程学科创立于1999年，2003年获得“安全技术及工程”硕士学位授予权，2006年获得“安全技术及工程”博士学位授予权，同年成为首批安全工程领域培养单位。2012年建立博士后流动站，2017年本学科在第四次教育部全国学科评估中评为B+。本领域结合国家油气能源及相关能源行业安全生产的切实需求，以解决复杂安全工程问题方面关键科学问题为目标，建设形成融合工程实践、科学研究和人才培养的一体化培养体系。直接为政府部门、工矿企业、安全中介机构、科研院所等培养高层次工程技术和管理人才。"
英语口译,"翻译硕士（MTI）（英语口译）专业学位自2011年招生，每年招收6-8人，依托学校特色与优势，立足石油石化行业，面向区域经济社会发展，聚焦能源科技翻译、国际合作与商务翻译，兼顾其他领域翻译。培养具有高尚的道德情操、良好的学术修养、科学的研究态度、扎实的基础理论和基本技能，能适应国家能源国际化发展战略，适应我国“一带一路”倡议及区域发展需要，以能源科技翻译、合同与商务翻译为特色，具有核心竞争力的高层次、应用型、专业翻译人才。"
法律（非法学）,"法律（非法学）专业学位（JM）旨在完善法律人才培养体系，创新法律人才培养模式，提高法律人才培养质量。依托学校能源学科优势与区域发展优势，为能源行业、区域经济社会发展和法治建设提供智力与人才支持，主要面向立法、司法、行政执法和法律服务等领域，培养具有专业法律素养的高层次应用型法治人才
仪器仪表工程,"仪器仪表工程专业领域依托中国石油大学（华东）“控制科学与工程”博士学位授权级学科点，2005年获得“控制工程”工程硕士学位授予权，2018年工程类专业学位调整后对应到“电子信息”专业学位类别，专业领域名称为“检测技术与控制工程”，2021年专业领域名称调整为“仪器仪表工程”。本专业领域主要面向能源、化工、智能制造、海洋信息等领域，开展检测技术与仪器、智能感知与智能系统、超快激光精密测试及微纳传感技术等方面研究，解决行业领域的技术难题，在油气特种测控技术与智能仪器设计与开发，网络智能与信息感知，微尺度智能传感器制造及其应用技术，超快激光精密测试及微加工技术等领域形成了特色与优势。"
会计硕士,"中国石油大学（华东）于2010年获得会计硕士（简称“MPAcc”）专业学位类别学位授予权，2011年开始招生，2015年通过教育部合格评估。会计硕士研究生教育以培育有坚守、有创见的高级会计专业人才为使命，依托校内外优质资源开展特色培养，服务国家能源经济和区域地方经济发展，在能源企业预算管理、成本管理和内部控制方面处于国内领先地位。本学位点承担了全国深化会计专业学位研究生教育综合改革试点任务，建有全国会计硕士联合培养实践教育示范基地和山东省会计硕示范实习基地，配备完善的校内实训教学软件与硬件设备，培养过程突出实践教学与案例教学，强化校内校外实习与实的有机结合，形成了特色鲜明的人才培养和质量保障体系。"
汉语国际教育,"汉语国际教育硕士专业学位是与国际汉语教师职业相衔接的专业学位，旨在培养符合汉语国际教育发展需要、能在国内外从事汉语国际教学以及传播中华文化的专门人才。中国石油大学（华东）汉语国际教育硕士专业学位点自2015年开始招生，重视发展学生的国际汉语教学能力、中华文化传播能力和跨文化交际能力，突出能源行业高校特色，积极服务于“一带一路”建设中的国际汉语教学与中华文化传承，强调理论与实践相结合。"
电子信息,"光电信息工程是电子信息专业类别的一个重要领域，是由光学工程学科和电子科学与技术、信息与通信工程、计算机科学与技术、控制科学与工程等学科相结合的工程应用领域。涉及光电信息的辐射、采集、传输、探测以及光电信息的转换、存储、处理与显示等众多内容。本专业领域研究生培养依托中国石油大学（华东）能源物理科学与技术交叉学科博士点、光学工程及物理学一级学科硕士点，拥有全国石油和化工行业油气太游波谱与光电检测重点实验室，形成了鲜明的“光电信息+能源/海洋”特色，主要面向能源与海洋领域开展相关研究工作。"
